School Name,City,State,District Name,2010/11/Award Amount,Model Selected,Location
BENNETT HIGH SCHOOL,BUFFALO,NY,BUFFALO CITY SCHOOL DISTRICT,$2.00 ,Transformation,"2885 MAIN ST
BUFFALO, NY 14214
(42.9448, -78.833)"
AUTOMOTIVE HIGH SCHOOL,BROOKLYN,NY,NEW YORK CITY GEOGRAPHIC DISTRICT #14,"$117,372.00 ",Transformation,"50 BEDFORD AVE
BROOKLYN, NY 11222
(40.7222, -73.9531)"
Rochester STEM High School,Rochester,NY,Rochester City School District,"$185,579.00 ",Turnaround,"655 Colfax St
Rochester, NY 14606
(43.1779, -77.6724)"
SCHOOL FOR GLOBAL STUDIES,BROOKLYN,NY,NEW YORK CITY GEOGRAPHIC DISTRICT #15,"$890,934.00 ",Transformation,"284 BALTIC ST
BROOKLYN, NY 11201
(40.6855, -73.9935)"
GEORGE FOWLER HIGH SCHOOL,SYRACUSE,NY,SYRACUSE CITY SCHOOL DISTRICT,$2.00 ,Transformation,"227 MAGNOLIA ST
SYRACUSE, NY 13204
(43.044, -76.1743)"
WOODLAND HILLS SCHOOL,CLEVELAND,OH,CLEVELAND MUNICIPAL,"$723,790.00 ",Turnaround,"9201 CRANE AVE
CLEVELAND, OH 44105
(41.4625, -81.6222)"
CRITTENTON COMMUNITY SCHOOL,COLUMBUS,OH,CRITTENTON COMMUNITY SCHOOL,"$246,750.00 ",Transformation,"1418 EAST BRD ST
COLUMBUS, OH 43205
(39.9666, -82.963)"
EAST HIGH SCHOOL,YOUNGSTOWN,OH,YOUNGSTOWN CITY SCHOOLS,"$805,793.00 ",Transformation,"474 BENNINGTON AVE
YOUNGSTOWN, OH 44505
(41.1041, -80.6196)"
FRANKLIN D. ROOSEVELT,CLEVELAND,OH,CLEVELAND MUNICIPAL,"$725,800.00 ",Turnaround,"800 LINN DR
CLEVELAND, OH 44108
(41.5357, -81.6099)"
DUNBAR HIGH SCHOOL,DAYTON,OH,DAYTON CITY,"$350,537.00 ",Transformation,"1400 ALBRITTON DR
DAYTON, OH 45408
(39.734, -84.2339)"
GLENVILLE HIGH SCHOOL,CLEVELAND,OH,CLEVELAND MUNICIPAL,"$691,110.00 ",Turnaround,"650 EAST 113TH ST
CLEVELAND, OH 44108
(41.5401, -81.606)"
WEST HIGH SCHOOL,COLUMBUS,OH,COLUMBUS CITY,"$948,140.00 ",Transformation,"179 SOUTH POWELL AVE
COLUMBUS, OH 43204
(39.9519, -83.0758)"
WOODWARD CAREER TECHNICAL HIGH SCHOOL,CINCINNATI,OH,CINCINNATI CITY,$2.00 ,Transformation,"7005 READING RD
CINCINNATI, OH 45237
(39.1855, -84.465)"
CHAMPION MIDDLE SCHOOL,COLUMBUS,OH,COLUMBUS CITY,"$104,115.00 ",Transformation,"284 NORTH 22ND ST
COLUMBUS, OH 43203
(39.9718, -82.9708)"
ROTHENBERG PREPARATORY ACADEMY,CINCINNATI,OH,CINCINNATI CITY,"$949,658.00 ",Transformation,"2120 VINE ST
CINCINNATI, OH 45202
(39.1198, -84.5173)"
KEIFER ALTERNATIVE CENTER,SPRINGFIELD,OH,SPRINGFIELD CITY,"$1,657.00 ",Transformation,"601 SELMA RD
SPRINGFIELD, OH 45505
(39.9139, -83.8001)"
LINCOLN-WEST HIGH SCHOOL,CLEVELAND,OH,CLEVELAND MUNICIPAL,"$109,111.00 ",Turnaround,"3202 WEST 30TH ST
CLEVELAND, OH 44109
(41.4668, -81.7018)"
BELMONT HIGH SCHOOL,DAYTON,OH,DAYTON CITY,"$350,537.00 ",Transformation,"2323 MAPLACEEVIEW AVE
DAYTON, OH 45420
(39.7336, -84.1515)"
EAST TECHNICAL HIGH SCHOOL,CLEVELAND,OH,CLEVELAND MUNICIPAL,"$109,111.00 ",Turnaround,"2439 EAST 55TH ST
CLEVELAND, OH 44104
(41.4917, -81.6516)"
WEINLAND PARK ELEMENTARY SCHOOL,COLUMBUS,OH,COLUMBUS CITY,"$825,100.00 ",Transformation,"211 EAST 7TH AVE
COLUMBUS, OH 43201
(39.9897, -83.0005)"
VIRTUAL HIGH SCHOOL,CINCINNATI,OH,CINCINNATI CITY,"$797,726.00 ",Transformation,"2651 BURNET AVE
CINCINNATI, OH 45219
(39.1302, -84.5018)"
BELLEFAIRE,UNIVERSITY HTS,OH,CLEVELAND HEIGHTS-UNIVERSITY HEIGHTS CITY,"$712,097.00 ",Transformation,"22001 FAIRMOUNT BLVD
UNIVERSITY HTS, OH 44118
(41.4865, -81.5257)"
GEORGE HAYS - JENNIE PORTER,CINCINNATI,OH,CINCINNATI CITY,"$108,635.00 ",Transformation,"1030 CUTTER ST
CINCINNATI, OH 45203
(39.1066, -84.525)"
PATRICK HENRY SCHOOL,CLEVELAND,OH,CLEVELAND MUNICIPAL,"$451,750.00 ",Transformation,"1000 LAKEVIEW RD
CLEVELAND, OH 44108
(41.5304, -81.6073)"
PROGRESSIVE ACADEMY,LIMA,OH,LIMA CITY,"$175,685.00 ",Transformation,"1 SPARTAN WAY
LIMA, OH 45801
(40.7413, -84.0977)"
LUIS MUNOZ MARIN SCHOOL,CLEVELAND,OH,CLEVELAND MUNICIPAL,"$451,750.00 ",Transformation,"1701 CASTLE AVE
CLEVELAND, OH 44113
(41.4715, -81.695)"
ALUM CREST HIGH SCHOOL,COLUMBUS,OH,COLUMBUS CITY,"$774,900.00 ",Transformation,"2200 WINSLOW DR
COLUMBUS, OH 43207
(39.9262, -82.9374)"
COLLINWOOD HIGH SCHOOL,CLEVELAND,OH,CLEVELAND MUNICIPAL,"$109,111.00 ",Turnaround,"15210 SAINT CLAIR AVE
CLEVELAND, OH 44110
(41.5535, -81.5751)"
SOUTHMOOR MIDDLE SCHOOL,COLUMBUS,OH,COLUMBUS CITY,"$1,264.00 ",Transformation,"1201 MOLER RD
COLUMBUS, OH 43207
(39.932, -82.9627)"
WILLIAM H TAFT ELEMENTARY SCHOOL,CINCINNATI,OH,CINCINNATI CITY,"$100,268.00 ",Transformation,"270 SOUTHERN AVE
CINCINNATI, OH 45219
(39.1204, -84.5057)"
MARTIN LUTHER KING JR CAREER CAMPUS,CLEVELAND,OH,CLEVELAND MUNICIPAL,"$584,250.00 ",Transformation,"1651 EAST 71ST ST
CLEVELAND, OH 44103
(41.5098, -81.6388)"
SCHOLARTS PREPARATORY AND CAREER CENTER FOR CHILDR,COLUMBUS,OH,SCHOLARTS PREPARATORY AND CAREER CENTER FOR CHILDREN,"$500,000.00 ",Transformation,"867 MT VERNON AVE
COLUMBUS, OH 43203
(39.9709, -82.9792)"
ODYSSEY: SCHOOL OF POSSIBILITIES,YOUNGSTOWN,OH,YOUNGSTOWN CITY SCHOOLS,"$913,139.00 ",Transformation,"1387 COMMONWEALTH AVE
YOUNGSTOWN, OH 44505
(41.1186, -80.6262)"
MARY B MARTIN SCHOOL,CLEVELAND,OH,CLEVELAND MUNICIPAL,"$723,790.00 ",Turnaround,"8200 BROOKLINE AVE
CLEVELAND, OH 44103
(41.5085, -81.63)"
MEADOWDALE HIGH SCHOOL,DAYTON,OH,DAYTON CITY,"$350,537.00 ",Transformation,"4417 WILLIAMSON DR
DAYTON, OH 45416
(39.8113, -84.2503)"
JOHN F KENNEDY HIGH SCHOOL,CLEVELAND,OH,CLEVELAND MUNICIPAL,"$109,111.00 ",Turnaround,"17100 HARVARD AVE
CLEVELAND, OH 44128
(41.4498, -81.5605)"
WELCOME CENTER HIGH,COLUMBUS,OH,COLUMBUS CITY,"$1,036.00 ",Transformation,"2001 HAMILTON AVE
COLUMBUS, OH 43211
(40.0067, -82.9795)"
CARL & LOUIS STOKES CENTRAL ACADEMY,CLEVELAND,OH,CLEVELAND MUNICIPAL,"$451,750.00 ",Transformation,"2225 EAST 40TH ST
CLEVELAND, OH 44103
(41.4961, -81.6564)"
LINDEN-MCKINLEY HIGH SCHOOL,COLUMBUS,OH,COLUMBUS CITY,"$14,775.00 ",Transformation,"1320 DUXBERRY AVE
COLUMBUS, OH 43211
(40.0095, -82.9739)"
SOUTH AVONDALE ELEMENTARY SCHOOL,CINCINNATI,OH,CINCINNATI CITY,"$994,001.00 ",Transformation,"636 PROSPECT PLACE
CINCINNATI, OH 45229
(39.1432, -84.493)"
GILCREASE MS,TULSA,OK,TULSA,"$158,356.00 ",Transformation,"5550 NORTH CINCINNATI AVE
TULSA, OK 74126
(36.234, -95.9936)"
CLINTON MS,TULSA,OK,TULSA,"$113,967.00 ",Transformation,"2224 WEST 41ST ST
TULSA, OK 74107
(36.1032, -96.0181)"
F.D. MOON ACADEMY,OKLAHOMA CITY,OK,OKLAHOMA CITY,"$152,716.00 ",Transformation,"1900 N.E. 13
OKLAHOMA CITY, OK 73117
(35.4736, -97.4619)"
WILL ROGERS HS,TULSA,OK,TULSA,"$117,124.00 ",Transformation,"3909 EAST 5TH PLACEACE
TULSA, OK 74112
(36.1528, -95.9337)"
CENTRAL HS,TULSA,OK,TULSA,"$858,523.00 ",Transformation,"3101 WEST EDISON
TULSA, OK 74127
(36.1612, -96.0271)"
CRUTCHO PUBLIC SCHOOL,OKLAHOMA CITY,OK,CRUTCHO,"$973,201.00 ",Transformation,"2401 NORTH AIR DEPOT BLVD
OKLAHOMA CITY, OK 73141
(35.4932, -97.4064)"
NATHAN HALE HS,TULSA,OK,TULSA,"$103,708.00 ",Transformation,"6960 EAST 21 ST
TULSA, OK 74129
(36.1334, -95.8985)"
DOUGLASS MS,OKLAHOMA CITY,OK,OKLAHOMA CITY,"$11,395.00 ",Transformation,"900 NORTH MARTIN LUTHER KING A
OKLAHOMA CITY, OK 73117
(35.4759, -97.4766)"
EAST CENTRAL HS,TULSA,OK,TULSA,"$107,752.00 ",Transformation,"12150 EAST 11TH ST
TULSA, OK 74128
(36.1461, -95.8399)"
U. S. GRANT HS,OKC,OK,OKLAHOMA CITY,"$173,743.00 ",Turnaround,"5016 SOUTH PENNSYLVANIA AVE
OKC, OK 73119
(35.4157, -97.5479)"
SPANISH-ENGLISH INTERNATIONAL SCHOOL,PORTLAND,OR,PORTLAND SD 1J,"$766,667.00 ",Transformation,"6941 NORTH CENTRAL ST
PORTLAND, OR 97203
(45.5899, -122.739)"
ONTARIO HIGH SCHOOL,ONTARIO,OR,ONTARIO SD 8C,"$11,704.00 ",Transformation,"1115 WEST IDAHO AVE
ONTARIO, OR 97914
(44.0285, -116.978)"
HALLMAN ELEMENTARY SCHOOL,SALEM,OR,SALEM-KEIZER SD 24J,"$950,000.00 ",Transformation,"4000 DEERHAVEN DR NE
SALEM, OR 97303
(44.9769, -122.995)"
EAGLERIDGE HIGH SCHOOL,KLAMATH FALLS,OR,KLAMATH FALLS CITY SCHOOLS,"$617,966.00 ",Transformation,"422 NORTH 9TH ST
KLAMATH FALLS, OR 97601
(42.2285, -121.783)"
MCKAY HIGH SCHOOL,SALEM,OR,SALEM-KEIZER SD 24J,"$19,015.00 ",Transformation,"2440 LANCASTER DR NE
SALEM, OR 97305
(44.9582, -122.984)"
"ARTS, COMMUNICATION & TECHNOLOGY SCHOOL",PORTLAND,OR,PORTLAND SD 1J,"$766,667.00 ",Transformation,"6941 NORTH CENTRAL ST
PORTLAND, OR 97203
(45.5899, -122.739)"
MADRAS HIGH SCHOOL,MADRAS,OR,JEFFERSON COUNTY SD 509J,"$118,595.00 ",Transformation,"390 SE 10TH ST
MADRAS, OR 97741
(44.6318, -121.124)"
ROBERTS HIGH SCHOOL,SALEM,OR,SALEM-KEIZER SD 24J,"$616,667.00 ",Transformation,"3620 STATE ST SE
SALEM, OR 97301
(44.9279, -122.988)"
PURSUIT OF WELLNESS EDUCATION AT ROOSEVELT CAMPUS,PORTLAND,OR,PORTLAND SD 1J,"$119,072.00 ",Transformation,"6941 NORTH CENTRAL ST
PORTLAND, OR 97203
(45.5899, -122.739)"
OREGON CITY SERVICE LEARNING ACADEMY,OREGON CITY,OR,OREGON CITY SD 62,"$441,740.00 ",Transformation,"1306 12TH ST
OREGON CITY, OR 97045
(45.3572, -122.597)"
MARSHALL HIGH SCHOOL,BEND,OR,BEND-LAPINE ADMINISTRATIVE SD 1,"$747,268.00 ",Transformation,"1291 NE 5TH
BEND, OR 97701
(44.0628, -121.299)"
EARLY COLLEGE HIGH SCHOOL,SALEM,OR,SALEM-KEIZER SD 24J,"$616,667.00 ",Transformation,"4071 WINEMA PLACE BLDG 50
SALEM, OR 97305
(44.9734, -122.981)"
SAYRE WILLIAM L MS,PHILADELPHIA,PA,PHILADELPHIA CITY SD,"$737,032.00 ",Transformation,"5800 WALNUT ST
PHILADELPHIA, PA 19139
(39.9584, -75.2375)"
CENTRAL DAUPHIN EAST SHS,HARRISBURG,PA,CENTRAL DAUPHIN SD,"$699,963.00 ",Transformation,"626 RUTHERFORD RD
HARRISBURG, PA 17109
(40.2845, -76.7987)"
KING MARTIN LUTHER HS,PHILADELPHIA,PA,PHILADELPHIA CITY SD,"$786,964.00 ",Transformation,"6100 STENTON AVE
PHILADELPHIA, PA 19138
(40.0577, -75.1622)"
DOUGLAS STEPHEN A SCH,PHILADELPHIA,PA,PHILADELPHIA CITY SD,"$319,320.00 ",Restart,"2700 EAST HUNTINGDON ST
PHILADELPHIA, PA 19125
(39.9767, -75.1168)"
PARK LANE EL SCH,DARBY,PA,WILLIAM PENN SD,"$283,200.00 ",Transformation,"1300 PARK LN
DARBY, PA 19023
(39.9256, -75.2625)"
FRANCIS D RAUB MS,ALLENTOWN,PA,ALLENTOWN CITY SD,"$500,000.00 ",Transformation,"102 SOUTH SAINT CLOUD ST
ALLENTOWN, PA 18104
(40.5947, -75.4926)"
LOCKE ALAIN SCH,PHILADELPHIA,PA,PHILADELPHIA CITY SD,"$390,938.00 ",Transformation,"4550 HAVERFORD AVE
PHILADELPHIA, PA 19139
(39.9625, -75.2136)"
ALCORN JAMES SCH,PHILADELPHIA,PA,PHILADELPHIA CITY SD,"$338,726.00 ",Transformation,"3200 DICKINSON ST
PHILADELPHIA, PA 19146
(39.9354, -75.1973)"
STEELTON-HIGHSPIRE HS,STEELTON,PA,STEELTON-HIGHSPIRE SD,"$280,500.00 ",Turnaround,"SWATARA AND REYNDERS
STEELTON, PA 17113
(40.2378, -76.831)"
PERSEUS HOUSE CS OF EXCELLENCE,ERIE,PA,PERSEUS HOUSE CS OF EXCELLENCE,"$686,000.00 ",Transformation,"1511 PEACH ST
ERIE, PA 16501
(42.1204, -80.0809)"
GERMANTOWN HS,PHILADELPHIA,PA,PHILADELPHIA CITY SD,"$798,792.00 ",Transformation,"40 EAST HIGH ST
PHILADELPHIA, PA 19144
(40.0401, -75.1769)"
MOUNT UNION AREA SHS,MOUNT UNION,PA,MOUNT UNION AREA SD,"$848,867.00 ",Transformation,"706 NORTH SHAVER ST
MOUNT UNION, PA 17066
(40.3901, -77.8768)"
ROONEY ARTHUR J MS,PITTSBURGH,PA,PITTSBURGH SD,"$208,773.00 ",Closure,"3530 FLEMING AVE
PITTSBURGH, PA 15212
(40.4794, -80.0389)"
ROXBOROUGH HS,PHILADELPHIA,PA,PHILADELPHIA CITY SD,"$641,440.00 ",Transformation,"6498 RIDGE AVE
PHILADELPHIA, PA 19128
(40.0381, -75.2228)"
HAND MS,LANCASTER,PA,LANCASTER SD,"$551,611.00 ",Turnaround,"431 SOUTH ANN ST
LANCASTER, PA 17602
(40.0321, -76.292)"
LANGLEY HS,PITTSBURGH,PA,PITTSBURGH SD,"$312,714.00 ",Transformation,"2940 SHERADEN BLVD
PITTSBURGH, PA 15204
(40.454, -80.054)"
TREXLER MS,ALLENTOWN,PA,ALLENTOWN CITY SD,"$250,000.00 ",Transformation,"851 NORTH 15TH ST
ALLENTOWN, PA 18102
(40.6096, -75.4936)"
UNIVERSITY CITY HS,PHILADELPHIA,PA,PHILADELPHIA CITY SD,"$923,999.00 ",Turnaround,"3601 FILBEROUTE ST
PHILADELPHIA, PA 19104
(39.957, -75.1941)"
SMEDLEY FRANKLIN SCH,PHILADELPHIA,PA,PHILADELPHIA CITY SD,"$362,773.00 ",Restart,"1790 BRIDGE ST
PHILADELPHIA, PA 19124
(40.0198, -75.0735)"
PENN WOOD HS - GREEN AVE CAMPUS,LANSDOWNE,PA,WILLIAM PENN SD,"$626,150.00 ",Transformation,"100 GREEN AVE
LANSDOWNE, PA 19050
(39.9452, -75.271)"
HARRISON-MORTON MS,ALLENTOWN,PA,ALLENTOWN CITY SD,"$350,000.00 ",Transformation,"137 NORTH 2ND ST
ALLENTOWN, PA 18101
(40.6077, -75.4608)"
WEST PHILADELPHIA HS,PHILADELPHIA,PA,PHILADELPHIA CITY SD,"$671,142.00 ",Transformation,"4700 WALNUT ST
PHILADELPHIA, PA 19139
(39.9557, -75.2157)"
HARRITY WILLIAM F SCH,PHILADELPHIA,PA,PHILADELPHIA CITY SD,"$980,283.00 ",Restart,"5601 CHRISTIAN ST
PHILADELPHIA, PA 19143
(39.9485, -75.2355)"
ACADEMY PARK HS,SHARON HILL,PA,SOUTHEAST DELCO SD,"$958,375.00 ",Transformation,"300 CALCON HOOK RD
SHARON HILL, PA 19079
(39.9091, -75.2671)"
WEST PHILA. ACHIEVEMENT CES,PHILADELPHIA,PA,WEST PHILA. ACHIEVEMENT CES,"$318,875.00 ",Transformation,"111 NORTH 49TH ST
PHILADELPHIA, PA 19139
(39.9611, -75.2194)"
FRANKFORD HS,PHILADELPHIA,PA,PHILADELPHIA CITY SD,"$792,001.00 ",Transformation,"5000 OXFORD AVE
PHILADELPHIA, PA 19124
(40.0225, -75.0845)"
MCKEESPORT AREA SHS,MC KEESPORT,PA,MCKEESPORT AREA SD,$112.00 ,Transformation,"1960 EDEN PARK BLVD
MC KEESPORT, PA 15132
(40.3438, -79.8297)"
OLIVER HS,PITTSBURGH,PA,PITTSBURGH SD,"$542,588.00 ",Transformation,"2323 BRIGHTON RD
PITTSBURGH, PA 15212
(40.4649, -80.0241)"
VAUX ROBERTS HS,PHILADELPHIA,PA,PHILADELPHIA CITY SD,"$466,665.00 ",Turnaround,"2300 WEST MASTER ST
PHILADELPHIA, PA 19121
(39.9763, -75.1735)"
CAREER TECHNOLOGY ACADEMY,HARRISBURG,PA,HARRISBURG CITY SD,"$300,000.00 ",Closure,"2915 NORTH THIRD ST
HARRISBURG, PA 17110
(40.292, -76.9004)"
CLEMENTE ROBERTO MS,PHILADELPHIA,PA,PHILADELPHIA CITY SD,"$333,327.00 ",Turnaround,"122 WEST ERIE AVE
PHILADELPHIA, PA 19140
(40.0074, -75.1283)"
FELS SAMUEL HS,PHILADELPHIA,PA,PHILADELPHIA CITY SD,"$974,132.00 ",Transformation,"901 DEVEREAUX AVE
PHILADELPHIA, PA 19111
(40.0417, -75.0883)"
LOUIS E DIERUFF HS,ALLENTOWN,PA,ALLENTOWN CITY SD,"$500,000.00 ",Transformation,"815 NORTH IRVING ST
ALLENTOWN, PA 18109
(40.6215, -75.4429)"
ALLEN DR ETHEL SCH,PHILADELPHIA,PA,PHILADELPHIA CITY SD,"$247,020.00 ",Turnaround,"3200 WEST LEHIGH AVE
PHILADELPHIA, PA 19132
(39.9977, -75.1836)"
FELTONVILLE INTERMEDIATE SCHOOL,PHILADELPHIA,PA,PHILADELPHIA CITY SD,"$244,855.00 ",Transformation,"4901 RISING SUN AVE
PHILADELPHIA, PA 19120
(40.0246, -75.1231)"
PENN WOOD MS,DARBY,PA,WILLIAM PENN SD,"$287,500.00 ",Transformation,"121 SUMMIT ST
DARBY, PA 19023
(39.9201, -75.2577)"
CENTRAL EL SCH,ALLENTOWN,PA,ALLENTOWN CITY SD,"$650,000.00 ",Transformation,"829 WEST TURNER ST
ALLENTOWN, PA 18102
(40.6042, -75.476)"
SOUTH PHILADELPHIA HS,PHILADELPHIA,PA,PHILADELPHIA CITY SD,"$579,958.00 ",Transformation,"2101 SOUTH BRD ST
PHILADELPHIA, PA 19148
(39.9244, -75.1697)"
OLNEY HS WEST,PHILADELPHIA,PA,PHILADELPHIA CITY SD,"$272,245.00 ",Transformation,"100 WEST DUNCANNON AVE
PHILADELPHIA, PA 19120
(40.0292, -75.1228)"
BRASHEAR HS,PITTSBURGH,PA,PITTSBURGH SD,"$267,754.00 ",Transformation,"590 CRANE AVE
PITTSBURGH, PA 15216
(40.4171, -80.021)"
EDISON HS/FAREIRA SKILLS,PHILADELPHIA,PA,PHILADELPHIA CITY SD,$1.00 ,Transformation,"151 WEST LUZERNE ST
PHILADELPHIA, PA 19140
(40.0111, -75.1286)"
MCCASKEY CAMPUS,LANCASTER,PA,LANCASTER SD,"$616,432.00 ",Transformation,"445 NORTH RESERVOIR ST
LANCASTER, PA 17602
(40.0481, -76.2874)"
WESTINGHOUSE HS,PITTSBURGH,PA,PITTSBURGH SD,"$606,437.00 ",Transformation,"1101 NORTH MURTLAND AVE
PITTSBURGH, PA 15208
(40.4604, -79.9005)"
STETSON JOHN B MS,PHILADELPHIA,PA,PHILADELPHIA CITY SD,"$888,708.00 ",Restart,"3200 B ST
PHILADELPHIA, PA 19134
(39.9981, -75.1254)"
DUQUESNE CONSOLIDATED SCH,DUQUESNE,PA,DUQUESNE CITY SD,"$523,313.00 ",Transformation,"300 KENNEDAY AVE
DUQUESNE, PA 15110
(40.3716, -79.8478)"
DAROFF SAMUEL SCH,PHILADELPHIA,PA,PHILADELPHIA CITY SD,"$658,247.00 ",Restart,"5630 VINE ST
PHILADELPHIA, PA 19139
(39.9657, -75.2326)"
BLUFORD GUION EL SCH,PHILADELPHIA,PA,PHILADELPHIA CITY SD,"$907,129.00 ",Restart,"5801 MEDIA ST
PHILADELPHIA, PA 19131
(39.9748, -75.2366)"
WILLIAM ALLEN HS,ALLENTOWN,PA,ALLENTOWN CITY SD,"$350,000.00 ",Transformation,"126 NORTH 17TH ST
ALLENTOWN, PA 18104
(40.5943, -75.4915)"
CLYMER GEORGE SCH,PHILADELPHIA,PA,PHILADELPHIA CITY SD,"$392,068.00 ",Transformation,"1201 WEST RUSH ST
PHILADELPHIA, PA 19133
(39.9956, -75.1504)"
MANN WILLIAM B SCH,PHILADELPHIA,PA,PHILADELPHIA CITY SD,"$794,021.00 ",Restart,"5376 WEST BERKS ST
PHILADELPHIA, PA 19131
(39.986, -75.2314)"
TURKEYFOOT VALLEY AREA JSHS,CONFLUENCE,PA,TURKEYFOOT VALLEY AREA SD,"$286,500.00 ",Transformation,"172 TURKEYFOOT RD
CONFLUENCE, PA 15424
(39.7992, -79.3297)"
PHILADELPHIA MONTESSORI CS,PHILADELPHIA,PA,PHILADELPHIA MONTESSORI CS,"$305,763.00 ",Transformation,"2227 ISLAND RD
PHILADELPHIA, PA 19142
(39.9166, -75.2454)"
GRATZ SIMON HS,PHILADELPHIA,PA,PHILADELPHIA CITY SD,"$508,486.00 ",Transformation,"1798 WEST HUNTING PARK AVE
PHILADELPHIA, PA 19140
(40.0146, -75.1566)"
PENN HILLS SHS,PITTSBURGH,PA,PENN HILLS SD,"$109,958.00 ",Transformation,"12200 GARLAND DR
PITTSBURGH, PA 15235
(40.4683, -79.8191)"
KING M L EL SCH,PITTSBURGH,PA,PITTSBURGH SD,"$234,233.00 ",Transformation,"50 MONTGOMERY PLACEACE
PITTSBURGH, PA 15212
(40.4546, -80.0053)"
LINCOLN HS,PHILADELPHIA,PA,PHILADELPHIA CITY SD,$14.00 ,Transformation,"3201 RYAN AVE
PHILADELPHIA, PA 19136
(40.0403, -75.0433)"
PERRY TRADITIONAL ACADEMY,PITTSBURGH,PA,PITTSBURGH SD,"$320,412.00 ",Transformation,"3875 PERRYSVILLE AVE
PITTSBURGH, PA 15214
(40.489, -80.0179)"
REYNOLDS MS,LANCASTER,PA,LANCASTER SD,"$531,891.00 ",Transformation,"605 WEST WALNUT ST
LANCASTER, PA 17603
(40.0416, -76.3182)"
CHARLOTTE WOODS ELEMENTARY SCHOOL,PROVIDENCE,RI,PROVIDENCE,,,"674 PRAIRIE AVE
PROVIDENCE, RI 2905
(41.7957, -71.4106)"
"LILLIAN FEINSTEIN ELEMENTARY, SACKETT STREET",PROVIDENCE,RI,PROVIDENCE,,,"159 SACKETT ST
PROVIDENCE, RI 2907
(41.794, -71.4193)"
ROGER WILLIAMS MIDDLE SCHOOL,PROVIDENCE,RI,PROVIDENCE,,,"278 THURBERS AVE
PROVIDENCE, RI 2905
(41.7984, -71.4109)"
FEINSTEIN HIGH SCHOOL,PROVIDENCE,RI,PROVIDENCE,,,"544 ELMWOOD AVE
PROVIDENCE, RI 2907
(41.7977, -71.4254)"
WILLIAM B. COOLEY/HEALTH AND SCIENCE TECH. ACADEMY,PROVIDENCE,RI,PROVIDENCE,,,"182 THURBERS AVE
PROVIDENCE, RI 2905
(41.7981, -71.4078)"
CENTRAL FALLS SENIOR HIGH SCHOOL,CENTRAL FALLS,RI,CENTRAL FALLS,,,"24 SUMMER ST
CENTRAL FALLS, RI 2863
(41.8872, -71.3916)"
RIDGELAND MIDDLE,RIDGELAND,SC,JASPER 01,"$573,338.00 ",Transformation,"250 JAGUAR TRAIL
RIDGELAND, SC 29936
(32.5084, -80.9382)"
J V MARTIN JR HIGH,DILLON,SC,DILLON 02,"$908,486.00 ",Transformation,"301 MARTIN LUTHER KING JR BLVD
DILLON, SC 29536
(34.4202, -79.3733)"
DENMARK-OLAR MIDDLE,DENMARK,SC,BAMBERG 02,"$571,626.00 ",Transformation,"45 GREEN ST
DENMARK, SC 29042
(33.3022, -81.1443)"
KINGSTREE JR HIGH,KINGSTREE,SC,WILLIAMSBURG 01,"$639,839.00 ",Transformation,"710 THIRD AVE
KINGSTREE, SC 29556
(33.6735, -79.8286)"
EAU CLAIRE HIGH,COLUMBIA,SC,RICHLAND 01,"$717,125.00 ",Transformation,"4800 MONTICELLO RD
COLUMBIA, SC 29203
(34.0476, -81.0433)"
ESTILL HIGH,ESTILL,SC,HAMPTON 02,"$502,925.00 ",Transformation,"1450 COLUMBIA HWY
ESTILL, SC 29918
(32.7909, -81.2405)"
MANNING JUNIOR HIGH,MANNING,SC,CLARENDON 02,"$672,451.00 ",Transformation,"1101 WL HAMILTON RD
MANNING, SC 29102
(33.659, -80.2688)"
DENMARK OLAR HIGH,DENMARK,SC,BAMBERG 02,"$571,626.00 ",Transformation,"197 VIKING CIRCLECLE
DENMARK, SC 29042
(33.3276, -81.124)"
WHITLOCK JR HIGH,SPARTANBURG,SC,SPARTANBURG 07,"$254,323.00 ",Closure,"364 SUCCESSFUL WAY
SPARTANBURG, SC 29303
(34.9953, -81.9194)"
WEST LEE ELEM,REMBERT,SC,LEE 01,"$698,507.00 ",Transformation,"55 WEST LEE SCHOOL RD
REMBERT, SC 29128
(34.1555, -80.3577)"
ESTILL MIDDLE,ESTILL,SC,HAMPTON 02,"$503,608.00 ",Transformation,"555 3RD ST
ESTILL, SC 29918
(32.7537, -81.2312)"
N CHARLESTON HIGH,NORTH CHARLESTON,SC,CHARLESTON 01,"$756,937.00 ",Transformation,"1087 EAST MONTAGUE AVE
NORTH CHARLESTON, SC 29405
(32.8803, -79.9785)"
ALLENDALE-FAIRFAX MIDDLE,FAIRFAX,SC,ALLENDALE 01,"$449,430.00 ",Transformation,"3305 ALLENDALE FAIRFAX HWY
FAIRFAX, SC 29827
(32.9821, -81.2705)"
CARVER JR HIGH,SPARTANBURG,SC,SPARTANBURG 07,"$126,267.00 ",Transformation,"467 SOUTH CHURCH ST
SPARTANBURG, SC 29306
(34.9396, -81.9281)"
HARDEEVILLE MIDDLE/HIGH,HARDEEVILLE,SC,JASPER 01,"$579,145.00 ",Transformation,"150 HURRICANE ALLEY
HARDEEVILLE, SC 29927
(32.2868, -81.0806)"
CAROLINA HIGH,GREENVILLE,SC,GREENVILLE 01,"$905,959.00 ",Transformation,"2725 ANDERSON RD
GREENVILLE, SC 29611
(34.8137, -82.4428)"
